Date,Tone_score
2022.8.21,0.11099833
2022.8.22,0.15782411
2022.8.23,0.105983585
2022.8.24,0.10725844
2022.8.25,0.016101878
2022.8.26,0.14730096
2022.8.27,0.14718874
2022.8.28,0.14707652
2022.8.29,0.15041608
2022.8.30,0.09459091
2022.8.31,0.08422579
2022.9.1,0.061030816
2022.9.2,0.13237183
2022.9.3,0.13877395
2022.9.4,0.14517605
2022.9.5,0.11308871
2022.9.6,0.17695673
2022.9.7,0.10031009
2022.9.8,0.09446361
2022.9.9,0.12830362
2022.9.10,0.16214363
2022.9.11,0.19598365
2022.9.12,0.10784997
2022.9.13,0.17206793
2022.9.14,0.113003805
2022.9.15,0.074034855
2022.9.16,0.113344766
2022.9.17,0.19394866
2022.9.18,0.15648755
2022.9.19,0.17960763
2022.9.20,0.02609017
2022.9.21,0.09175256
2022.9.22,0.066860326
2022.9.23,0.084927425
2022.9.24,0.15085366
2022.9.25,0.10433364
2022.9.26,0.087619066
2022.9.27,0.099489644
2022.9.28,0.10496767
2022.9.29,0.10583311
2022.9.30,0.08270887
2022.10.1,0.12808414
2022.10.2,0.17345941
2022.10.3,0.096047014
2022.10.4,0.16124907
2022.10.5,0.10630943
2022.10.6,0.14144142
2022.10.7,0.17342977
2022.10.8,0.18529686
2022.10.9,-0.04321134
2022.10.10,0.1385779
2022.10.11,0.09560339
2022.10.12,0.050519835
2022.10.13,0.06219033
2022.10.14,0.09665614
2022.10.15,0.06783846
2022.10.16,0.039020777
2022.10.17,0.10205851
2022.10.18,0.0758586
2022.10.19,0.12778781
2022.10.20,0.14656265
2022.10.21,0.13191512
2022.10.22,0.12779889
2022.10.23,0.12368266
2022.10.24,0.20837657
2022.10.25,0.07643432
2022.10.26,0.09465681
2022.10.27,0.14381304
2022.10.28,0.11877289
2022.10.29,0.12258362
2022.10.30,0.12639435
2022.10.31,0.13020508
2022.11.1,0.11897805
2022.11.2,0.0641451
2022.11.3,0.0827723
2022.11.4,0.10173417
2022.11.5,0.14330156
2022.11.6,0.110164486
2022.11.7,0.11379158
2022.11.8,0.15516426
2022.11.9,0.21576166
2022.11.10,0.07727916
2022.11.11,0.111285746
2022.11.12,0.14884093
2022.11.13,0.033337593
2022.11.14,0.1550534
2022.11.15,0.100046694
2022.11.16,0.08224408
2022.11.17,0.093629904
2022.11.18,0.053294946
2022.11.19,0.08165457
2022.11.20,0.1100142
2022.11.21,0.17180254
2022.11.22,0.14492476
2022.11.23,0.18589139
2022.11.24,0.092988655
2022.11.25,0.10387848
2022.11.26,0.09746228
2022.11.27,0.09104608
2022.11.28,0.09654529
2022.11.29,0.07697772
2022.11.30,0.1157969
2022.12.1,0.12112739
2022.12.2,0.15165564
2022.12.3,0.17375329
2022.12.4,0.19585094
2022.12.5,0.09877651
2022.12.6,0.095358714
2022.12.7,0.17708752
2022.12.8,0.078674905
2022.12.9,0.08244857
2022.12.10,0.05351138
2022.12.11,0.02457419
2022.12.12,0.1549397
2022.12.13,0.08542405
2022.12.14,0.11425972
2022.12.15,0.056295354
2022.12.16,0.07900214
2022.12.17,0.001271665
2022.12.18,0.05943691
2022.12.19,0.117602155
2022.12.20,0.08462677
2022.12.21,0.07287779
2022.12.22,0.1021405
2022.12.23,0.09853115
2022.12.24,0.110369764
2022.12.25,0.12220838
2022.12.26,0.11073056
2022.12.27,0.085107096
2022.12.28,0.12605488
2022.12.29,0.0941121
2022.12.30,0.12499267
2022.12.31,0.12553525
2023.1.1,0.12607783
2023.1.2,0.17152043
2023.1.3,0.11361343
2023.1.4,0.15392801
2023.1.5,0.042425714
2023.1.6,0.1342342
2023.1.7,0.083793
2023.1.8,0.033351786
2023.1.9,0.1006106
2023.1.10,0.12534304
2023.1.11,0.19423792
2023.1.12,0.104033634
2023.1.13,0.0759777
2023.1.14,0.107271366
2023.1.15,0.13856503
2023.1.16,0.0748658
2023.1.17,0.051955633
2023.1.18,0.1099005
2023.1.19,0.09283488
2023.1.20,0.07680423
2023.1.21,0.10408603
2023.1.22,0.13136783
2023.1.23,0.12494409
2023.1.24,0.11852034
2023.1.25,0.105720274
2023.1.26,0.102403164
2023.1.27,0.13902019
2023.1.28,0.13421485
2023.1.29,0.12940949
2023.1.30,0.17908558
2023.1.31,0.09427919
2023.2.1,0.16113481
2023.2.2,0.11749101
2023.2.3,0.07210066
2023.2.4,0.13564597
2023.2.5,0.19919127
2023.2.6,0.11104012
2023.2.7,0.074598685
2023.2.8,0.09347387
2023.2.9,0.102614865
2023.2.10,0.09833225
2023.2.11,0.044439882
2023.2.12,0.10580984
2023.2.13,0.21137644
2023.2.14,0.19414933
2023.2.15,0.1632893
2023.2.16,0.12259802
2023.2.17,0.09751947
2023.2.18,0.23736271
2023.2.19,0.10181376
2023.2.20,0.15704991
2023.2.21,0.11118617
2023.2.22,0.13025738
2023.2.23,0.054635566
2023.2.24,0.054051995
2023.2.25,0.001779884
2023.2.26,0.08320369
2023.2.27,0.07862027
2023.2.28,0.09906105
2023.3.1,0.10889199
2023.3.2,0.07363459
2023.3.3,0.098069966
2023.3.4,0.06921922
2023.3.5,0.040368468
2023.3.6,0.14017728
2023.3.7,0.11922323
2023.3.8,0.060453933
2023.3.9,0.09095401
2023.3.10,0.15196249
2023.3.11,0.16055408
2023.3.12,0.1591055
2023.3.13,0.10123538
2023.3.14,0.060979426
2023.3.15,0.06079923
2023.3.16,-0.003074461
2023.3.17,0.042575974
2023.3.18,0.08822641
2023.3.19,0.11018436
2023.3.20,0.12258693
2023.3.21,0.088099666
2023.3.22,0.069508806
2023.3.23,0.06807446
2023.3.24,0.13912094
2023.3.25,0.13361338
2023.3.26,0.12810582
2023.3.27,0.12259826
2023.3.28,0.08976175
2023.3.29,0.096599706
2023.3.30,0.10343766
2023.3.31,0.16294801
2023.4.1,0.13068098
2023.4.2,0.098413944
2023.4.3,0.1550632
2023.4.4,0.12706688
2023.4.5,0.25524703
2023.4.6,0.15271848
2023.4.7,0.14338659
2023.4.8,0.0828495
2023.4.9,0.11536107
2023.4.10,0.0730849
2023.4.11,0.105977915
2023.4.12,0.12723073
2023.4.13,0.040885627
2023.4.14,0.114960186
2023.4.15,0.079433054
2023.4.16,0.053013872
2023.4.17,-0.0735544
2023.4.18,0.046573386
2023.4.19,0.09819128
2023.4.20,0.14980918
2023.4.21,0.055915534
2023.4.22,0.0971341
2023.4.23,0.13835266
2023.4.24,0.16882147
2023.4.25,0.15130389
2023.4.26,0.13378632
2023.4.27,0.16998653
2023.4.28,0.16753757
2023.4.29,0.10614558
2023.4.30,0.044753592
2023.5.1,-0.016638398
2023.5.2,0.07878006
2023.5.3,0.11781982
2023.5.4,0.008691764
2023.5.5,0.03976532
2023.5.6,0.07083888
2023.5.7,0.10191244
2023.5.8,0.10485189
2023.5.9,0.099327214
2023.5.10,0.094118
2023.5.11,0.21650282
2023.5.12,0.030228943
2023.5.13,0.20264205
2023.5.14,0.12521389
2023.5.15,0.07171303
2023.5.16,0.085167706
2023.5.17,0.18049641
2023.5.18,0.17735231
2023.5.19,0.06730063
2023.5.20,0.05694008
2023.5.21,-0.042505205
2023.5.22,0.16093823
2023.5.23,0.13255484
2023.5.24,0.022598088
2023.5.25,0.02890169
2023.5.26,0.050971504
2023.5.27,0.07304132
2023.5.28,0.09511113
2023.5.29,0.07866633
2023.5.30,0.20239699
2023.5.31,0.0845632
2023.6.1,0.09339274
2023.6.2,0.13368925
2023.6.3,0.108233295
2023.6.4,0.101501904
2023.6.5,0.14553846
2023.6.6,0.18040445
2023.6.7,0.13264228
2023.6.8,0.09025292
2023.6.9,0.12030998
2023.6.10,0.1246493
2023.6.11,0.12898862
2023.6.12,0.18927377
2023.6.13,0.17974718
2023.6.14,0.17807251
2023.6.15,0.03684596
2023.6.16,0.10205613
2023.6.17,0.09623269
2023.6.18,0.09040924
2023.6.19,0.0845858
2023.6.20,0.12659056
2023.6.21,0.10742843
2023.6.22,0.07078283
2023.6.23,0.058693036
2023.6.24,0.14467737
2023.6.25,0.23066172
2023.6.26,0.099335164
2023.6.27,0.13673949
2023.6.28,0.10260589
2023.6.29,0.06847228
2023.6.30,0.12809238
2023.7.1,0.16622493
2023.7.2,0.20435749
2023.7.3,0.14086318
2023.7.4,0.14236936
2023.7.5,0.123567656
2023.7.6,0.10476596
2023.7.7,0.078412846
2023.7.8,0.086797446
2023.7.9,0.1735309
2023.7.10,0.106609665
2023.7.11,0.12483511
2023.7.12,0.11714993
2023.7.13,0.10946474
2023.7.14,0.10000789
2023.7.15,0.06448194
2023.7.16,0.028955981
2023.7.17,0.18526532
2023.7.18,0.098426014
2023.7.19,0.092030495
2023.7.20,0.13809699
2023.7.21,0.09934098
2023.7.22,0.101941764
2023.7.23,0.10454255
2023.7.24,0.099505186
2023.7.25,0.094467826
2023.7.26,0.05073753
2023.7.27,0.01217776
2023.7.28,0.04748677
2023.7.29,0.042795807
2023.7.30,0.05351789
2023.7.31,0.06423997
2023.8.1,0.039639402
2023.8.2,0.1348902
2023.8.3,0.10310333
2023.8.4,0.10279914
2023.8.5,0.11483073
2023.8.6,0.12686232
2023.8.7,0.15920162
2023.8.8,0.15808176
2023.8.9,-0.000300154
2023.8.10,0.009505205
2023.8.11,0.23828144
2023.8.12,0.16646531
2023.8.13,0.094649166
2023.8.14,-0.009074788
2023.8.15,0.112108774
2023.8.16,0.02923049
2023.8.17,0.090376675
2023.8.18,0.10992956
2023.8.19,0.109686814
2023.8.20,0.10944407
2023.8.21,0.030753125
2023.8.22,0.051854562
2023.8.23,0.07846285
2023.8.24,0.07274456
2023.8.25,0.065940365
2023.8.26,-0.01757732
2023.8.27,0.13964726
2023.8.28,0.16860141
2023.8.29,0.059238076
2023.8.30,0.06143024
2023.8.31,0.11700418
2023.9.1,0.08247933
2023.9.2,0.08764269
2023.9.3,0.092806056
2023.9.4,0.15632066
2023.9.5,0.0885631
2023.9.6,0.034345075
2023.9.7,0.10750256
2023.9.8,0.20231493
2023.9.9,0.118165225
2023.9.10,0.059188813
2023.9.11,0.035471648
2023.9.12,0.08825614
2023.9.13,0.106427476
2023.9.14,0.14636418
2023.9.15,0.030313829
2023.9.16,0.059460968
2023.9.17,0.08860811
2023.9.18,0.11775525
2023.9.19,0.058284067
2023.9.20,0.081789225
2023.9.21,0.053296752
2023.9.22,0.08028799
2023.9.23,0.087190524
2023.9.24,0.094093055
2023.9.25,0.10369027
2023.9.26,0.058186173
2023.9.27,0.11319136
2023.9.28,0.1074473
2023.9.29,0.10170323
2023.9.30,0.116266645
2023.10.1,0.13083006
2023.10.2,0.09467074
2023.10.3,0.04118073
2023.10.4,0.04697908
2023.10.5,0.08545475
2023.10.6,0.13449124
2023.10.7,0.13750303
2023.10.8,0.1301753
2023.10.9,0.08763848
2023.10.10,0.12068645
2023.10.11,0.059009593
2023.10.12,0.17875838
2023.10.13,0.15242834
2023.10.14,0.15196249
2023.10.15,0.11476052
2023.10.16,0.12894148
2023.10.17,0.16162829
2023.10.18,0.052302465
2023.10.19,0.10539262
2023.10.20,0.10590832
2023.10.21,0.119441845
2023.10.22,0.13297537
2023.10.23,0.11386015
2023.10.24,0.21979868
2023.10.25,0.075479686
2023.10.26,0.1154953
2023.10.27,0.11413195
2023.10.28,0.21231961
2023.10.29,0.11790901
2023.10.30,0.100664355
2023.10.31,0.099655315
2023.11.1,0.09934311
2023.11.2,0.04796021
2023.11.3,0.18743029
2023.11.4,0.17986009
2023.11.5,0.1722899
2023.11.6,0.065657906
2023.11.7,0.17064886
2023.11.8,0.17166246
2023.11.9,0.051870912
2023.11.10,0.033863753
2023.11.11,0.06967804
2023.11.12,0.10549232
2023.11.13,0.12220767
2023.11.14,0.14107135
2023.11.15,0.09465777
2023.11.16,0.059936326
2023.11.17,0.029174149
2023.11.18,0.05847822
2023.11.19,0.08778229
2023.11.20,0.1073904
2023.11.21,0.15007709
2023.11.22,0.08949118
2023.11.23,0.18088871
2023.11.24,0.12627728
2023.11.25,0.17492095
2023.11.26,0.059426982
2023.11.27,0.15178895
2023.11.28,0.09173072
2023.11.29,0.06928538
2023.11.30,0.06192162
2023.12.1,0.13388985
2023.12.2,-0.007416874
2023.12.3,0.113419734
2023.12.4,0.19868675
2023.12.5,0.05296883
2023.12.6,0.096960016
2023.12.7,0.083857395
2023.12.8,0.040347416
2023.12.9,0.06798658
2023.12.10,0.111412406
2023.12.11,0.060616422
2023.12.12,0.13422987
2023.12.13,0.11224015
2023.12.14,0.087052874
2023.12.15,0.04664489
2023.12.16,0.07123576
2023.12.17,0.09582664
2023.12.18,0.0857117
2023.12.19,0.116559304
2023.12.20,0.13010733
2023.12.21,0.1598806
2023.12.22,0.0968432
2023.12.23,0.13127944
2023.12.24,0.0791406
2023.12.25,0.08537517
2023.12.26,0.09258342
2023.12.27,0.12004523
2023.12.28,0.026789919
2023.12.29,0.11857614
2023.12.30,0.08395004
2023.12.31,0.085115775
2024.1.1,0.05157425
2024.1.2,0.060652636
2024.1.3,0.13451311
2024.1.4,0.053333662
2024.1.5,0.022158813
2024.1.6,-0.009016037
2024.1.7,0.07924619
2024.1.8,0.08742318
2024.1.9,0.15850532
2024.1.10,0.10696045
2024.1.11,0.06337302
2024.1.12,0.00487034
2024.1.13,0.08282858
2024.1.14,0.2877681
2024.1.15,0.09377017
2024.1.16,0.09375805
2024.1.17,0.11734845
2024.1.18,0.0991702
2024.1.19,0.026396483
2024.1.20,0.06128998
2024.1.21,0.09618348
2024.1.22,0.062212307
2024.1.23,0.0307419
2024.1.24,0.044424698
2024.1.25,0.11181697
2024.1.26,0.08103792
2024.1.27,0.12437667
2024.1.28,0.16771542
2024.1.29,0.13738742
2024.1.30,0.22038384
2024.1.31,0.1346832
2024.2.1,0.07753383
2024.2.2,0.09217712
2024.2.3,0.106820405
2024.2.4,0.12146369
2024.2.5,0.118669085
2024.2.6,0.13441941
2024.2.7,0.13390489
2024.2.8,0.12191872
2024.2.9,0.109932564
2024.2.10,0.0979464
2024.2.11,0.08596024
2024.2.12,0.07397407
2024.2.13,0.089840814
2024.2.14,0.11420908
2024.2.15,0.0928922
2024.2.16,0.04279886
2024.2.17,0.06271747
2024.2.18,0.115350276
2024.2.19,0.17846656
2024.2.20,0.1672611
2024.2.21,0.16720319
2024.2.22,0.01632883
2024.2.23,0.13687202
2024.2.24,0.10856402
2024.2.25,0.22655639
2024.2.26,0.22918127
2024.2.27,0.13461123
2024.2.28,0.23432872
2024.2.29,0.12916268
2024.3.1,0.14120507
2024.3.2,0.13360715
2024.3.3,0.12600924
2024.3.4,0.1392493
2024.3.5,0.12974541
2024.3.6,0.087364286
2024.3.7,0.06446725
2024.3.8,0.04279507
2024.3.9,0.022021204
2024.3.10,0.06566948
2024.3.11,0.13792111
2024.3.12,0.12107432
2024.3.13,-0.007921547
2024.3.14,0.09532528
2024.3.15,0.045683324
2024.3.16,0.14877662
2024.3.17,0.06485413
2024.3.18,0.095235944
2024.3.19,0.091923684
2024.3.20,0.06945554
2024.3.21,0.06308594
2024.3.22,0.024766337
2024.3.23,0.057904035
2024.3.24,0.14914715
2024.3.25,0.15494812
2024.3.26,0.06478163
